category,orig_name,name,longitude,latitude,alley_capacity,jeep_count,average_time_arrival_mins,total_passenger,time_slot,orig_name.1
Mall,GAISANO BULUA,Gaisano Bulua,457221.5715,940407.0521,3,22,14,57,12:00:00 pm to 3:00:00 pm,GAISANO BULUA
Mall,GAISANO BULUA,Gaisano Bulua,457221.5715,940407.0521,3,31,14,62,3:00:00 pm to 5:00:00 pm,GAISANO BULUA
Mall,GAISANO BULUA,Gaisano Bulua,457221.5715,940407.0521,3,31,14,62,5:00:00 pm to 7:00:00 pm,GAISANO BULUA
Mall,S&R MEMBERSHIP,S&R Membership,458751.164,940513.6585,2,24,20,13,8:00:00 am to 10:00:00 am,S&R MEMBERSHIP
Mall,S&R MEMBERSHIP,S&R Membership,458751.164,940513.6585,2,35,20,21,10:00:00 am to 12:00:00 pm,S&R MEMBERSHIP
Mall,S&R MEMBERSHIP,S&R Membership,458751.164,940513.6585,2,32,20,24,12:00:00 pm to 3:00:00 pm,S&R MEMBERSHIP
Mall,S&R MEMBERSHIP,S&R Membership,458751.164,940513.6585,2,46,20,31,3:00:00 pm to 5:00:00 pm,S&R MEMBERSHIP
Mall,S&R MEMBERSHIP,S&R Membership,458751.164,940513.6585,2,46,20,31,5:00:00 pm to 7:00:00 pm,S&R MEMBERSHIP
Mall,GAISANO COGON,Gaisano Cogon,461484.1529,937394.3174,3,30,36,43,8:00:00 am to 10:00:00 am,GAISANO COGON
Mall,GAISANO COGON,Gaisano Cogon,461484.1529,937394.3174,3,35,41,51,10:00:00 am to 12:00:00 pm,GAISANO COGON
Mall,GAISANO COGON,Gaisano Cogon,461484.1529,937394.3174,3,32,42,55,12:00:00 pm to 3:00:00 pm,GAISANO COGON
Mall,GAISANO COGON,Gaisano Cogon,461484.1529,937394.3174,3,38,38,78,3:00:00 pm to 5:00:00 pm,GAISANO COGON
Mall,GAISANO COGON,Gaisano Cogon,461484.1529,937394.3174,3,38,39,78,5:00:00 pm to 7:00:00 pm,GAISANO COGON
Mall,ORORAMA SUPER CENTER,Ororama Super Center,461220.0822,937427.5915,4,31,6,34,8:00:00 am to 10:00:00 am,ORORAMA SUPER CENTER
Mall,ORORAMA SUPER CENTER,Ororama Super Center,461220.0822,937427.5915,4,36,6,36,10:00:00 am to 12:00:00 pm,ORORAMA SUPER CENTER
Mall,ORORAMA SUPER CENTER,Ororama Super Center,461220.0822,937427.5915,4,42,6,44,12:00:00 pm to 3:00:00 pm,ORORAMA SUPER CENTER
Mall,ORORAMA SUPER CENTER,Ororama Super Center,461220.0822,937427.5915,4,40,6,71,3:00:00 pm to 5:00:00 pm,ORORAMA SUPER CENTER
Mall,ORORAMA SUPER CENTER,Ororama Super Center,461220.0822,937427.5915,4,56,6,71,5:00:00 pm to 7:00:00 pm,ORORAMA SUPER CENTER
Mall,TH CAGAYAN INC.,TH Cagayan Inc.,461432.424,937409.8331,3,22,2,18,8:00:00 am to 10:00:00 am,TH CAGAYAN INC.
Mall,TH CAGAYAN INC.,TH Cagayan Inc.,461432.424,937409.8331,3,25,2,22,10:00:00 am to 12:00:00 pm,TH CAGAYAN INC.
Mall,TH CAGAYAN INC.,TH Cagayan Inc.,461432.424,937409.8331,3,36,2,34,12:00:00 pm to 3:00:00 pm,TH CAGAYAN INC.
Mall,TH CAGAYAN INC.,TH Cagayan Inc.,461432.424,937409.8331,3,43,2,31,3:00:00 pm to 5:00:00 pm,TH CAGAYAN INC.
Mall,TH CAGAYAN INC.,TH Cagayan Inc.,461432.424,937409.8331,3,56,2,31,5:00:00 pm to 7:00:00 pm,TH CAGAYAN INC.
Mall,UNICITY,UniCity,461429.0998,937865.2629,3,19,7,15,8:00:00 am to 10:00:00 am,UNICITY
Mall,UNICITY,UniCity,461429.0998,937865.2629,3,22,7,24,10:00:00 am to 12:00:00 pm,UNICITY
Mall,UNICITY,UniCity,461429.0998,937865.2629,3,21,7,26,12:00:00 pm to 3:00:00 pm,UNICITY
Mall,UNICITY,UniCity,461429.0998,937865.2629,3,25,7,29,3:00:00 pm to 5:00:00 pm,UNICITY
Mall,UNICITY,UniCity,461429.0998,937865.2629,3,45,7,29,5:00:00 pm to 7:00:00 pm,UNICITY
Mall,GAISANO CARMEN,Gaisano Carmen,459761.4808,937717.5133,4,22,1,28,8:00:00 am to 10:00:00 am,GAISANO CARMEN
Mall,GAISANO CARMEN,Gaisano Carmen,459761.4808,937717.5133,4,26,1,37,10:00:00 am to 12:00:00 pm,GAISANO CARMEN
Mall,GAISANO CARMEN,Gaisano Carmen,459761.4808,937717.5133,4,24,1,35,12:00:00 pm to 3:00:00 pm,GAISANO CARMEN
Mall,GAISANO CARMEN,Gaisano Carmen,459761.4808,937717.5133,4,51,1,66,3:00:00 pm to 5:00:00 pm,GAISANO CARMEN
Mall,GAISANO CARMEN,Gaisano Carmen,459761.4808,937717.5133,4,57,1,66,5:00:00 pm to 7:00:00 pm,GAISANO CARMEN
Mall,ORORAMA CARMEN,Ororama Carmen,459939.9213,937751.3007,2,21,3,17,8:00:00 am to 10:00:00 am,ORORAMA CARMEN
Mall,ORORAMA CARMEN,Ororama Carmen,459939.9213,937751.3007,2,26,3,35,10:00:00 am to 12:00:00 pm,ORORAMA CARMEN
Mall,ORORAMA CARMEN,Ororama Carmen,459939.9213,937751.3007,2,27,3,44,12:00:00 pm to 3:00:00 pm,ORORAMA CARMEN
Mall,ORORAMA CARMEN,Ororama Carmen,459939.9213,937751.3007,2,34,3,52,3:00:00 pm to 5:00:00 pm,ORORAMA CARMEN
Mall,ORORAMA CARMEN,Ororama Carmen,459939.9213,937751.3007,2,45,3,52,5:00:00 pm to 7:00:00 pm,ORORAMA CARMEN
Mall,UNITOP CARMEN,Unitop Carmen,459829.9134,937786.2962,5,24,3,20,8:00:00 am to 10:00:00 am,UNITOP CARMEN
Mall,UNITOP CARMEN,Unitop Carmen,459829.9134,937786.2962,5,27,3,17,10:00:00 am to 12:00:00 pm,UNITOP CARMEN
